Comment,Designator,Footprint,LCSC,Quantity
0603/3R3,R4,R_1206,C911994,1
100kΩ,R5,R_0402,C25741,1
100nF,"C1,C2,C20,C21,C23,C24,C3,C7,C8,C9",C_0603,C14663,10
100uH 4A,L1,L_Sunlord_SWRB1207S,C5368704,1
10kΩ,"R1,R19,R2,R20,R21,R22,R23,R24,R25",R_0402,C25744,9
10uF,"C16,C18",C_0603,C19702,2
"1206, 0R15, 0.5W","R6,R7",R_1206,C2683383,2
18.7k,R13,R_0402,C11476,1
1kΩ,R12,R_0402,C11702,1
22nF,C5,C_0603,C21122,1
3.3nF,C22,C_0603,C1613,1
330Ω,R26,R_0402,C25104,1
33kΩ,"R10,R11,R17,R18,R8,R9",R_0402,C25779,6
4.7uF,C4,C_0603,C19666,1
4.7uF,"C10,C11",C_1206,C29823,2
470nF,C6,C_0603,C1623,1
47u,"C12,C14,C15,C17,C19,C25,C26,C27,C28",CP_Elec_6.3x7.7,C7461235,9
5.11k,R16,R_0402,C274895,1
9.53k,R15,R_0402,C295883,1
AMS1117,U4,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186,1
LM2596HVS-ADJRG,U5,TO-263-5_TabPin3,C22439312,1
M24C64,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,C79988,1
Red,D7,D_0603,C2286,1
SMBJ43CA,,D_SMB,C41376098,0
SN74CB3Q3384APW,U1,TSSOP-24_4.4x7.8mm_P0.65mm,C469874,1
SS510C,"D2,D4,D5,D6,D8",SMC_L7.1-W6.2-LS8.1-RD,C123944,5
SW_DIP_x04,SW1,SW_DIP_SPSTx04_Slide_6.7x11.72mm_W7.62mm_P2.54mm_LowProfile,C231756,1
TMC5130A-TA,U3,TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias,C188832,1
TestPoint,TP4,TestPoint_Pad_D1.0mm,,1
TestPoint,TP1,TestPoint_Pad_D1.0mm,,1
16.5k,R14,R_0402,,1
Chainbus Out,J2,PinSocket_2x16_P2.54mm_Vertical_SMD,,1
TestPoint,TP7,TestPoint_Pad_D1.0mm,,1
~,H8,Hole_Tooling_JLCPCB,,1
Conn_01x04_Pin,J3,PinHeader_1x04_P2.54mm_Vertical,,1
TestPoint,TP6,TestPoint_Pad_D1.0mm,,1
~,H7,Hole_Tooling_JLCPCB,,1
TestPoint,TP8,TestPoint_Pad_D1.0mm,,1
TestPoint,TP5,TestPoint_Pad_D1.0mm,,1
100K TRIM,RV1,Potentiometer_Bourns_3296W_Vertical,,1
Conn_01x03_Pin,J8,PinHeader_1x03_P2.54mm_Vertical,,1
Encoder connector,J6,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,,1
TestPoint,TP2,TestPoint_Pad_D1.0mm,,1
~,H9,Hole_Tooling_JLCPCB,,1
Motor connector,J7,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,,1
TestPoint,TP3,TestPoint_Pad_D1.0mm,,1
Chainbus in,J1,PinHeader_2x16_P2.54mm_Vertical_SMD,,1
